species,longitude,latitude
Bd,18.635,-33.983
Bd,11.9835,2.934
Bd,22.5041,-24.6459
Bd,25.34258,-24.97779
Bd,18.0682,-30.04699
Bd,29.1308,-28.2761
Bd,32.8522,-26.9415
Bd,26.3988,-31.2857
Bd,20.0336,-33.3375
Bd,18.5139,-34.0665
Bd,34.77305556,0.277777778
Bd,34.80611111,0.340277778
Bd,36.65,-0.716666667
Bd,22.2033,-33.5937
Bd,38.3644,-3.4055
Bd,36.63333333,-0.483333333
Bd,36.81666667,-1.283333333
Bd,32.6933,-27.4277
Bd,39.73333333,6.666666667
Bd,26.0831,-28.7832
Bd,29.61572222,-0.99275
Bd,29.63430556,-0.986916667
Bd,29.72741667,-0.8905
Bd,25.0045,-29.4057
Bd,26.4633,-29.1434
Bd,31.6989,-25.9954
Bd,30.35,0.566666667
Bd,30.0009,-29.2255
Bd,17.9905,-30.5599
Bd,27.2827,-29.3167
Bd,17.0554,-29.6758
Bd,19.134,-33.0925
Bd,24.7205,-28.3299
Bd,31.8842,-27.3055
Bd,8.671,3.325
Bd,8.552,3.461
Bd,8.871,3.696
Bd,8.667,3.711
Bd,8.622,3.355
Bd,8.665,3.367
Bd,27.6137,-29.88
Bd,28.7724,-29.4927
Bd,29.3778,-29.4259
Bd,29.2834,-29.5759
Bd,18.8598,-33.9306
Bd,18.8675,-33.8032
Bd,7.396,1.639
Bd,6.73228,0.30234
Bd,6.466,0.247
Bd,18.8229,-34.0999
Bd,19.0059,-33.6377
Bd,19.2137,-34.2285
Bd,18.03417,-29.62917
Bd,19.06147,-32.37428
Bd,22.24083,-33.41978
Bd,19.05664,-32.99856
Bd,20.45919,-34.00992
Bd,18.43331,-33.94825
Bd,20.70461,-33.96522
Bd,35.86499,-8.515
Bd,36.00167,-8.17033
Bd,35.46105,-8.5196
Bd,35.77889,-7.81916
Bd,36.91461,-7.76858
Bd,36.42499,-7.76667
Bd,36.39166,-7.82499
Bd,28.4842,-29.3281
Bd,26.7168,-33.6535
Bd,28.2302,-28.5943
Bd,25.59,-33.96
Bd,17.9308,-30.2046
Bd,17.7496,-30.2046
Bd,17.8861,-29.6633
Bd,29.4755,-23.6311
Bd,30.02381,-23.81647
Bd,28.825,-28.8
Bd,29.66033,-29.38133
Bd,29.619611,-28.752194
Bd,31.6216,-27.37306
Bd,32.64958,-27.52876
Bd,-5.386177376,35.535881
Bd,36.799,-1.3316
Bd,36.7238,-0.4114
Bd,36.8424,-0.3684
Bd,34.7695,1.0339
Bd,35.1247,1.1063
Bd,39.4191,-4.1805
Bd,38.3816,-3.505
Bd,36.3715,0.0431
Bd,36.6789,-1.1373
Bd,28.755194,-2.312806
Bd,28.4495,-1.887306
Bd,29.57434,-27.68044
Bd,24.773549,-27.938957
Bd,31.07805,-25.10707
Bd,-6.046155582,35.04387071
Bd,-6.02924801,35.038109
Bd,10.27583,0.44959
Bd,10.40275,0.62325
Bd,11.585,7.329972
Bd,28.2408,-29.6022
Bd,-1.1003,7.9374
Bd,15.655,2.138333
Bd,12.803,0.511
Bd,12.573,0.29
Bd,9.356,-1.814
Bd,9.568,-1.892
Bd,29.62832,-3.94196
Bd,29.61908,-3.94827
Bd,29.72483,-3.29342
Bd,29.4828,-3.06884
Bd,29.47471,-4.0138
Bd,30.14681,-4.0108
Bd,29.27310983,-3.343039833
Bd,12.22541667,4.61155
Bd,10.04236667,6.965033333
Bd,10.05108333,6.23065
Bd,10.27026667,6.01425
Bd,11.49563333,3.85955
Bd,10.75998333,6.548616667
Bd,10.0397,5.967716667
Bd,10.15853,5.85573
Bd,10.61586667,5.108883333
Bd,10.459732,6.209349
Bd,10.70485,5.5519
Bd,29.09521,-4.10701
Bd,28.93287,-4.37381
Bd,37.2511,-3.1808
Bd,37.5175,-3.2018
Bd,37.2667,-3.0967
Bd,12.298,-0.226
Bd,12.291,-0.039
Bd,12.185,-0.189
Bd,9.771829833,4.84975
Bd,9.6751,4.96335
Bd,9.066349833,4.32228
Bd,9.86721,4.954929833
Bd,14.02446,2.62278
Bd,13.9041,2.90057
Bd,13.0492,2.90096
Bd,10.48567,5.21687
Bd,10.12686,5.66016
Bd,16.47182,-2.58555
Bd,13.60987,-2.31967
Bd,10.21818,-0.64305
Bd,10.7821,-0.1772
Bd,13.58085,-2.23767
Bd,11.15926,-0.05954
Bd,13.63431,-2.157664
Bd,12.81241,-0.80493
Bd,12.67244,-0.86831
Bd,13.63506,-2.12448
Bd,5.259689,6.267423
Bd,10.393912,6.212161
Bd,9.865611111,5.067638889
Bd,9.864472222,4.859333333
Bd,9.77425,5.038166667
