"","bio_1","bio_2","bio_3","bio_4","bio_7","bio_14","bio_15","bio_18","bio_19","Built2009","crop2005","NavWat2009","Pastur2009","Popden2010","Railways","Roads","HFP2009","pet_he_yr","aet_yr","perren_str","interm_str","dams","canals","perren_wb","interm_wb","dry_salt_f","ocean_sea","prelim_ric","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1",247,102,74,502,137,3,63,112,91,0,0,0,0,0,0,0,0,1672,767,65.0727,208673,5396150,1488820,1062.43,304977,1209290,1209290,16,-0.895272680993582,0.522361961627909,4.62439827333809,0.423236667443982,-0.79273184899782,0.878618567070968,-1.07878639610415
"2",247,102,74,502,137,3,63,112,91,0,0,0,0,0,0,0,0,1672,767,65.0727,208673,5396150,1488820,1062.43,304977,1209290,1209290,16,-0.895272680993582,0.522361961627909,4.62439827333809,0.423236667443982,-0.79273184899782,0.878618567070968,-1.07878639610415
"3",233,103,72,574,143,3,66,240,103,0,0,0.41053,0,7,0,8,15.4105,1620,916,38909.3,192856,5409580,1435040,3406.41,365259,1191250,1191250,19,-1.22549418472024,-1.83818748470692,2.94044574183251,0.962784742225451,0.945118985361338,-0.91285577393399,-0.00502051137268077
"4",165,108,72,682,149,4,65,343,111,0,0,0,1,7,0,8,16,1389,1042,22299.8,182863,5392670,1448570,20032.5,355610,1175140,1175140,20,-1.77480726494204,-2.18243622105734,2.32435445752794,-0.10376017709517,-1.5623450219899,-0.577839042647052,0.706164164538116
"5",172,109,71,689,152,4,65,324,112,0,0,0,1,7,0,8,16,1420,1037,20848.7,181381,5391180,1449780,21511.9,354680,1173740,1173740,20,-1.80910675176671,-2.23855367666163,2.43169915830441,0.155104939483926,-1.52489816059696,-0.478199931118658,0.674696951092217
"6",172,109,71,689,152,4,65,324,112,0,0,0,1,7,0,8,16,1420,1037,20848.7,181381,5391180,1449780,21511.9,354680,1173740,1173740,20,-1.80910675176671,-2.23855367666163,2.43169915830441,0.155104939483926,-1.52489816059696,-0.478199931118658,0.674696951092217
"7",172,109,71,689,152,4,65,324,112,0,0,0,1,7,0,8,16,1420,1037,20848.7,181381,5391180,1449780,21511.9,354680,1173740,1173740,20,-1.80910675176671,-2.23855367666163,2.43169915830441,0.155104939483926,-1.52489816059696,-0.478199931118658,0.674696951092217
"8",172,109,71,689,152,4,65,324,112,0,0,0,1,7,0,8,16,1420,1037,20423,181056,5390810,1450300,21750.4,354151,1173540,1173540,20,-1.81065816466343,-2.23617308679095,2.42747916520255,0.159647017882502,-1.52970789146398,-0.462234261911909,0.676417993193729
"9",172,109,71,689,152,4,65,324,112,0,0,0,1,7,0,8,16,1420,1037,20423,181056,5390810,1450300,21750.4,354151,1173540,1173540,20,-1.81065816466343,-2.23617308679095,2.42747916520255,0.159647017882502,-1.52970789146398,-0.462234261911909,0.676417993193729
"10",193,113,77,386,145,5,60,171,114,0,0,0,1,8,0,4,13,1533,1010,13661.3,158413,5348530,1518100,42866.6,281961,1158940,1158940,18,-2.15517763815237,-1.08951401149768,3.05101552858941,0.439562339885864,-0.396331427735583,0.879210300361113,0.563808797518637
"11",240,112,80,335,140,5,59,155,115,0,0,2.28352e-05,0,8,0,8,16,1725,935,15434.8,196124,5370640,1521020,20904.8,272775,1194850,1194850,18,-1.73775707806419,-0.874975319063382,2.45853863032343,1.6206562892593,1.55424649355145,0.441850318660954,0.776382287975554
"12",240,112,80,335,140,5,59,155,115,0,0,2.28352e-05,0,8,0,8,16,1725,935,15434.8,196124,5370640,1521020,20904.8,272775,1194850,1194850,18,-1.73775707806419,-0.874975319063382,2.45853863032343,1.6206562892593,1.55424649355145,0.441850318660954,0.776382287975554
"13",240,112,80,335,140,5,59,155,115,0,0,2.28352e-05,0,8,0,8,16,1725,935,15434.8,196124,5370640,1521020,20904.8,272775,1194850,1194850,18,-1.73775707806419,-0.874975319063382,2.45853863032343,1.6206562892593,1.55424649355145,0.441850318660954,0.776382287975554
"14",240,112,80,335,140,5,59,155,115,0,0,2.28352e-05,0,8,0,8,16,1725,935,15434.8,196124,5370640,1521020,20904.8,272775,1194850,1194850,18,-1.73775707806419,-0.874975319063382,2.45853863032343,1.6206562892593,1.55424649355145,0.441850318660954,0.776382287975554
"15",233,103,72,574,143,3,66,240,103,0,0,0.41053,0,7,0,8,15.4105,1620,916,38877.7,192814,5409540,1435050,3440.33,365289,1191210,1191210,19,-1.22548968705446,-1.83799879391839,2.94016696907187,0.963286649795741,0.94461821604567,-0.911321247333482,-0.00481386132993641
"16",233,103,72,574,143,3,66,240,103,0,0,0.41053,0,7,0,8,15.4105,1620,916,38877.7,192814,5409540,1435050,3440.33,365289,1191210,1191210,19,-1.22548968705446,-1.83799879391839,2.94016696907187,0.963286649795741,0.94461821604567,-0.911321247333482,-0.00481386132993641
"17",204,110,80,321,137,8,58,212,148,0,0,0,0,8,0,4,12,1565,1120,24838.2,187135,5361360,1527190,16574.3,267165,1185500,1185500,23,-1.55819965163426,-0.249194590982905,1.91968103262598,0.132328671459493,1.12004536836814,0.0370120391494249,0.561613989755549
"18",194,108,79,370,136,8,57,227,156,0,0,0,0,8,0,4,12,1493,1137,24972.4,186824,5360650,1528040,15842.8,266325,1185080,1185080,24,-1.51549052081393,-0.354338582859956,1.76882059670572,-0.278132533100913,0.938099655325632,-0.094194413207247,0.573208860223876
