Region,Country,pos,neg,tot
Western Africa,Benin,0,138,138
Western Africa,Burkina Faso,0,5,5
Eastern Africa,Burundi,123,44,167
Central Africa,Cameroon,307,1152,1459
Central Africa,Central African Republic,0,3,3
Central Africa,Congo,4,34,38
Western Africa,Cote D'Ivoire,0,62,62
Central Africa,Democratic Republic of the Congo,183,765,948
Central Africa,Equatorial Guinea,0,31,31
Eastern Africa,Ethiopia,51,69,120
Central Africa,Gabon,142,689,831
Western Africa,Ghana,1,297,298
Western Africa,Guinea,0,300,300
Eastern Africa,Kenya,271,590,861
Southern Africa,Lesotho,8,3,11
Western Africa,Liberia,0,16,16
Eastern Africa,Malawi,14,62,76
Northern Africa,Morocco,8,386,394
Eastern Africa,Mozambique,1,129,130
Western Africa,Nigeria,493,801,1294
Eastern Africa,Rwanda,38,184,222
Central Africa,Sao Tome and Principe,70,395,465
Western Africa,Sierra Leone,0,15,15
Southern Africa,South Africa,309,775,1084
Eastern Africa,Tanzania,56,874,930
Western Africa,The Gambia,0,2,2
Eastern Africa,Uganda,67,283,350
Eastern Africa,Zambia,0,68,68
TOTAL AFRICA,AFRICA,1735,5839,7574
