"","Region","Country","pos","neg","tot","prev","lower","upper","prob","power"
"1","Southern Africa","Botswana",2,0,2,100,15.8113883008419,100,0.7921,0.2079
"2","Eastern Arica","Burundi",0,13,13,0,0,24.7052638000471,0.219821459173083,0.780178540826917
"3","Central Africa","Cameroon",2,323,325,0.615384615384615,0.074613010202336,2.2051840912452,3.56247774199621e-17,1
"4","Western Africa","Cote D'Ivoire",0,1,1,0,0,97.5,0.89,0.11
"5","Central Africa","Democratic Republic of the Congo",1,153,154,0.649350649350649,0.0164387837385844,3.56470312906918,1.60716706240843e-08,0.999999983928329
"6","Central Africa","Equatorial Guinea",56,257,313,17.8913738019169,13.8071748447813,22.5954547901042,1.44235471928159e-16,1
"7","Eastern Arica","Ethiopia",1,25,26,3.84615384615385,0.0973287893335031,19.6369646762539,0.0483214739129836,0.951678526087016
"8","Central Africa","Gabon",0,2,2,0,0,84.1886116991581,0.7921,0.2079
"9","Eastern Arica","Kenya",14,675,689,2.03193033381713,1.11521933505512,3.38575246441402,1.34807662512755e-35,1
"10","Southern Africa","Lesotho",4,22,26,15.3846153846154,4.35634765389238,34.8678785535361,0.0483214739129836,0.951678526087016
"11","Eastern Arica","Malawi",1,0,1,100,2.5,100,0.89,0.11
"12","Eastern Arica","Rwanda",0,14,14,0,0,23.1635761650116,0.195641098664044,0.804358901335956
"13","Central Africa","Sao Tome and Principe",0,2,2,0,0,84.1886116991581,0.7921,0.2079
"14","Western Africa","Sierra Leone",0,4,4,0,0,60.2364635616474,0.62742241,0.37257759
"15","Southern Africa","South Africa",28,81,109,25.6880733944954,17.7972976645264,34.9438084208158,3.04446316785896e-06,0.999996955536832
"16","Southern Africa","Swaziland",2,2,4,50,6.7585986488543,93.2414013511457,0.62742241,0.37257759
"17","Eastern Arica","Tanzania",0,117,117,0,0,3.10370316931116,1.19847996259659e-06,0.999998801520037
"18","Eastern Arica","Uganda",17,1604,1621,1.04873534855028,0.612080501736788,1.67383246593001,9.14535927538322e-83,1
"19","Southern Africa","South Africa, Lesotho, Swaziland",11,516,527,2.08728652751423,1.04646066723646,3.70398836828734,2.13075492956511e-27,1
"20","Eastern Arica","Rwanda, Uganda",0,12,12,0,0,26.4648469397051,0.246990403565262,0.753009596434738
"21","Central Africa","Cameroon, Congo, Democratic Republic of the Congo, Equatorial Guinea, Gabon",0,42,42,0,0,8.40838549403551,0.00748824903298297,0.992511750967017
"22","TOTAL AFRICA","AFRICA",136,4121,4257,3.19473807845901,2.6870401577308,3.7679120781581,3.57485381760054e-216,1
