Region,Country,pos,neg,tot
Southern Africa,Botswana,2,0,2
Eastern Arica,Burundi,0,13,13
Central Africa,Cameroon,2,323,325
Western Africa,Cote D'Ivoire,0,1,1
Central Africa,Democratic Republic of the Congo,1,153,154
Central Africa,Equatorial Guinea,56,257,313
Eastern Arica,Ethiopia,1,25,26
Central Africa,Gabon,0,2,2
Eastern Arica,Kenya,14,675,689
Southern Africa,Lesotho,4,22,26
Eastern Arica,Malawi,1,0,1
Eastern Arica,Rwanda,0,14,14
Central Africa,Sao Tome and Principe,0,2,2
Western Africa,Sierra Leone,0,4,4
Southern Africa,South Africa,28,81,109
Southern Africa,Swaziland,2,2,4
Eastern Arica,Tanzania,0,117,117
Eastern Arica,Uganda,17,1604,1621
Southern Africa,"South Africa, Lesotho, Swaziland",11,516,527
Eastern Arica,"Rwanda, Uganda",0,12,12
Central Africa,"Cameroon, Congo, Democratic Republic of the Congo, Equatorial Guinea, Gabon",0,42,42
TOTAL AFRICA,AFRICA,136,4121,4257
