Country,pos,neg,tot,prev,lower,upper,prob,,,,,,
Botswana,2,0,2,100,15.81,100,0.7921,0.79,100,15.81,100,"100 (15.81, 100)",2-Feb
Burundi,0,13,13,0,0,24.71,0.219821459,0.22,0,0,24.71,"0 (0, 24.71)",0/13
Cameroon,2,323,325,0.62,0.07,2.21,3.56E-17,3.50E-17,0.62,0.07,2.21,"0.62 (0.07, 2.21)",2/325
Cote D'Ivoire,0,1,1,0,0,97.5,0.89,0.89,0,0,97.5,"0 (0, 97.5)",0/1
Democratic Republic of the Congo,1,153,154,0.65,0,3.56,1.61E-08,1.61E-08,0.65,0,3.56,"0.65 (0, 3.56)",1/154
Equatorial Guinea,56,257,313,17.89,13.81,22.6,1.44E-16,1.44E-16,17.89,13.81,22.6,"17.89 (13.81, 22.6)",56/313
Ethiopia,1,25,26,3.85,0.1,19.64,0.048321474,4.80E-02,3.85,0.1,19.64,"3.85 (0.1, 19.64)",26-Jan
Gabon,0,2,2,0,0,84.19,0.7921,0.7921,0,0,84.19,"0 (0, 84.19)",0/2
Kenya,14,675,689,2.03,1.12,3.39,1.35E-35,1.35E-35,2.03,1.12,3.39,"2.03 (1.12, 3.39)",14/689
Lesotho,4,22,26,15.38,4.36,34.87,0.048321474,4.80E-02,15.38,4.36,34.87,"15.38 (4.36, 34.87)",26-Apr
Malawi,1,0,1,100,2.5,100,0.89,0.89,100,2.5,100,"100 (2.5, 100)",1-Jan
Rwanda,0,14,14,0,0,23.16,0.195641099,1.95E-01,0,0,23.16,"0 (0, 23.16)",0/14
Sao Tome and Principe,0,2,2,0,0,84.19,0.7921,0.7921,0,0,84.19,"0 (0, 84.19)",0/2
Sierra Leone,0,4,4,0,0,60.24,0.62742241,0.63,0,0,60.24,"0 (0, 60.24)",0/4
South Africa,28,81,109,25.69,17.8,34.94,3.04E-06,3.04E-06,25.69,17.8,34.94,"25.69 (17.8, 34.94)",28/109
Swaziland,2,2,4,50,6.76,93.24,0.62742241,0.63,50,6.76,93.24,"50 (6.76, 93.24)",4-Feb
Tanzania,0,117,117,0,0,3.1,1.20E-06,1.20E-06,0,0,3.1,"0 (0, 3.1)",0/117
Uganda,17,1604,1621,1.05,0.61,1.67,9.15E-83,9.15E-83,1.05,0.61,1.67,"1.05 (0.61, 1.67)",17/1621
"South Africa, Lesotho, Swaziland",11,516,527,2.09,1.05,3.70,2.13E-27,,,,,,
