species,longitude,latitude,publication,source,country,year
Bd,18.635,-33.983,Weldon et al 2005,Bdmaps,South Africa,1943
Bd,11.9835,2.934,"Blackburn Lab, Vredenburg Lab",Sonia,Cameroon,1960
Bd,22.5041,-24.6459,Weldon et al 2005,Bdmaps,Botswana,1965
Bd,25.34258,-24.97779,Weldon et al 2005,Bdmaps,Botswana,1969
Bd,18.0682,-30.04699,Weldon et al 2005,Bdmaps,South Africa,1972
Bd,29.1308,-28.2761,Weldon et al 2005,Bdmaps,South Africa,1972
Bd,32.8522,-26.9415,Weldon et al 2005,Bdmaps,South Africa,1973
Bd,26.3988,-31.2857,Weldon et al 2005,Bdmaps,South Africa,1974
Bd,20.0336,-33.3375,Weldon et al 2005,Bdmaps,South Africa,1974
Bd,18.5139,-34.0665,Weldon et al 2005,Bdmaps,South Africa,1976
Bd,18.5139,-34.0665,Weldon et al 2005,Bdmaps,South Africa,1976
Bd,34.77305556,0.277777778,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1976
Bd,34.80611111,0.340277778,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1976
Bd,34.80611111,0.340277778,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1976
Bd,34.80611111,0.340277778,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1976
Bd,36.65,-0.716666667,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1979
Bd,36.65,-0.716666667,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1979
Bd,36.65,-0.716666667,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1979
Bd,36.65,-0.716666667,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1979
Bd,34.84166667,0.233333333,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1979
Bd,34.84166667,0.233333333,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1979
Bd,22.2033,-33.5937,Weldon et al 2005,Bdmaps,South Africa,1981
Bd,38.33333333,-3.383333333,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1981
Bd,36.63333333,-0.483333333,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1981
Bd,36.81666667,-1.283333333,"Blackburn Lab, Vredenburg Lab",Sonia,Kenya,1981
Bd,18.5534,-34.0151,Weldon et al 2005,Bdmaps,South Africa,1982
Bd,32.6933,-27.4277,Weldon et al 2005,Bdmaps,South Africa,1985
Bd,39.73333333,6.666666667,"Blackburn Lab, Vredenburg Lab",Sonia,Ethiopia,1986
Bd,26.0831,-28.7832,Weldon et al 2005,Bdmaps,South Africa,1987
Bd,29.61572222,-0.99275,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1990
Bd,29.63430556,-0.986916667,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1990
Bd,29.63430556,-0.986916667,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1990
Bd,29.61716667,-1.000666667,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1990
Bd,29.7,-0.9,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1990
Bd,29.63430556,-0.986916667,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1990
Bd,29.62069444,-1.00975,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1990
Bd,25.0045,-29.4057,Weldon et al 2005,Bdmaps,South Africa,1991
Bd,26.4633,-29.1434,Weldon et al 2005,Bdmaps,South Africa,1991
Bd,31.6989,-25.9954,Weldon et al 2005,Bdmaps,Swaziland,1991
Bd,30.35,0.566666667,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1994
Bd,30.35,0.566666667,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1994
Bd,30.0009,-29.2255,Weldon et al 2005,Bdmaps,South Africa,1995
Bd,17.9905,-30.5599,Weldon et al 2005,Bdmaps,South Africa,1996
Bd,27.2827,-29.3167,Weldon et al 2005,Bdmaps,South Africa,1996
Bd,17.0554,-29.6758,Weldon et al 2005,Bdmaps,South Africa,1996
Bd,29.72741667,-0.8905,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1996
Bd,29.68908333,-0.976666667,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1996
Bd,29.61572222,-0.99275,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1996
Bd,29.695,-0.978333333,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1996
Bd,29.62069444,-1.00975,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1996
Bd,30.35,0.566666667,"Blackburn Lab, Vredenburg Lab",Sonia,Uganda,1997
Bd,19.134,-33.0925,Weldon et al 2005,Bdmaps,South Africa,1998
Bd,24.7205,-28.3299,Weldon et al 2005,Bdmaps,South Africa,1998
Bd,31.8842,-27.3055,Weldon et al 2005,Bdmaps,Swaziland,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.552,3.461,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.662,3.361,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.662,3.361,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.662,3.361,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.662,3.361,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.803,3.628,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.871,3.696,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.552,3.461,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.552,3.461,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.552,3.461,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.552,3.461,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.493,3.468,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.667,3.711,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.622,3.355,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.622,3.355,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.622,3.355,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.622,3.355,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.622,3.355,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.67,3.332,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.667,3.331,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.667,3.331,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.667,3.331,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.665,3.367,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.582,3.483,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.582,3.483,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.671,3.325,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.667,3.331,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.667,3.331,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
Bd,8.667,3.331,Hydeman et al 2017,Lit Review,Equatorial Guinea,1998
