bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,ai_yr,pet_he_yr,aet_yr,SRTM_1km,hfp2009_ty
194,101,63,1549,273,115,158,201,177,210,171,1358,286,6,91,740,26,290,27,9320,1457,925,1434,5
190,103,64,1453,270,111,159,198,167,204,167,1105,242,2,95,620,14,250,14,7624,1444,846,1569,11
179,107,64,1608,260,95,165,187,161,196,155,1232,236,6,89,652,27,251,32,8633,1434,904,1755,6.25008
190,111,67,1295,275,110,165,196,170,204,170,721,157,0,106,454,1,184,1,4780,1506,610,1627,4.4367
248,69,53,1839,307,178,129,258,226,267,220,1538,367,12,88,875,52,416,60,11429,1371,943,309,13.0001
193,101,65,1387,270,116,154,201,176,207,171,1120,242,2,93,613,14,429,17,7714,1448,856,1471,4
179,104,66,1376,258,101,157,188,162,193,158,1100,237,2,95,617,13,433,15,7784,1413,839,1710,4
184,118,72,1211,269,107,162,193,168,197,165,945,211,15,75,469,60,356,74,6071,1545,794,1704,34
126,135,52,4212,243,-14,257,168,68,174,68,676,103,9,60,290,43,288,43,5373,1260,574,2056,7
153,141,50,4717,279,1,278,200,88,206,86,678,105,9,61,305,44,279,46,4825,1401,574,1506,8.41508
133,134,52,4127,245,-11,256,179,74,179,74,610,103,7,65,276,34,276,34,4780,1276,518,1909,6.8525
78,114,51,3621,180,-42,222,119,28,119,28,792,122,7,66,354,34,354,34,8156,971,674,2791,5.25004
73,115,52,3552,177,-44,221,114,24,114,24,797,123,8,66,355,35,355,35,8345,955,678,2878,14
96,122,56,3554,217,0,217,59,141,141,52,634,96,19,54,275,75,76,271,5882,1076,541,1658,5.52698
175,152,53,4411,314,30,284,180,216,228,116,262,27,15,15,79,56,56,63,1763,1514,226,322,37
182,85,58,2025,250,105,145,172,208,209,158,588,64,39,17,179,123,141,128,5368,1099,505,69,12.7997
135,145,53,4351,254,-15,269,178,74,185,74,819,127,12,60,349,45,347,45,6098,1343,695,1811,9.72822
188,157,60,3501,323,63,260,141,229,231,141,149,25,3,59,69,12,14,69,918,1633,125,241,15
179,100,57,2515,259,84,175,158,210,211,147,543,55,33,16,159,105,112,137,4617,1178,465,24,43.7885
159,141,57,3738,287,41,246,116,203,204,109,213,35,4,60,97,15,21,96,1482,1437,182,752,11
173,140,59,3353,295,60,235,137,213,214,128,155,26,3,64,73,11,14,73,1043,1485,132,390,11
175,134,55,4040,301,61,240,121,212,224,121,178,31,4,62,84,15,20,84,1230,1471,153,917,32
178,130,57,3446,271,43,228,215,128,215,128,672,126,5,79,350,22,350,22,4573,1467,569,1191,1.75751
168,104,52,3357,270,72,198,132,210,210,125,650,101,15,59,289,57,57,287,5354,1212,555,9,39.2815
180,131,53,4149,307,61,246,133,230,230,125,706,120,16,64,332,56,56,327,4929,1428,597,117,36
164,101,53,3050,259,69,190,124,202,202,124,627,91,20,50,264,65,65,264,5378,1177,540,42,26.0004
166,106,54,3235,267,71,196,125,206,206,125,633,109,15,62,296,54,54,296,5193,1213,537,49,38.0006
168,97,53,2967,260,80,180,130,205,205,130,723,124,18,62,344,62,66,344,6232,1160,610,9,31.9871
158,140,56,4007,289,40,249,113,205,207,105,225,34,6,54,97,20,27,97,1455,1463,181,934,4.75751
139,146,54,4335,256,-12,268,181,78,187,78,717,116,8,68,338,41,332,41,5283,1357,608,1633,39
225,104,57,2431,308,128,180,254,191,254,191,907,138,33,47,373,111,373,111,6200,1458,766,0,10.2815
