"","CountryName","latitude","longitude","Publication","Source"
"1","Tanzania",-8.49622,35.94239,"Moyer and Weldon 2006","Bdmaps"
"2","Tanzania",-8.17033,36.00167,"Moyer and Weldon 2006","Bdmaps"
"3","Tanzania",-8.515,35.86499,"Moyer and Weldon 2006","Bdmaps"
"4","Tanzania",-8.5196,35.46105,"Moyer and Weldon 2006","Bdmaps"
"5","Tanzania",-7.81916,35.77889,"Moyer and Weldon 2006","Bdmaps"
"6","Tanzania",-7.76858,36.91461,"Moyer and Weldon 2006","Bdmaps"
"7","Tanzania",-7.76667,36.42499,"Moyer and Weldon 2006","Bdmaps"
"8","Tanzania",-8.50767,35.86083,"Moyer and Weldon 2006","Bdmaps"
"9","Tanzania",-7.82499,36.39166,"Moyer and Weldon 2006","Bdmaps"
"10","Tanzania",-8.58333,35.85,"Weldon and du Preez 2004","Bdmaps"
"11","Tanzania",-8.61583,35.87222,"Weldon and du Preez 2004","Bdmaps"
"12","Kenya",-1.2761,36.7965,"Berger and Speare 2000","Bdmaps"
"13","Lesotho",-29.3281,28.4842,"Weldon et al 2005","Bdmaps"
"14","Lesotho",-29.88,27.6137,"Weldon et al 2005","Bdmaps"
"15","Lesotho",-29.4927,28.7724,"Weldon et al 2005","Bdmaps"
"16","Lesotho",-29.4259,29.3778,"Weldon et al 2005","Bdmaps"
"17","Lesotho",-29.5759,29.2834,"Weldon et al 2005","Bdmaps"
"18","South Africa",-33.0925,19.134,"Weldon et al 2005","Bdmaps"
"19","South Africa",-33.5937,22.2033,"Weldon et al 2005","Bdmaps"
"20","South Africa",-33.6535,26.7168,"Weldon et al 2005","Bdmaps"
"21","South Africa",-28.5943,28.2302,"Weldon et al 2005","Bdmaps"
"22","South Africa",-30.5599,17.9905,"Weldon et al 2005","Bdmaps"
"23","South Africa",-33.9325,25.5921,"Weldon et al 2005","Bdmaps"
"24","South Africa",-30.2046,17.9308,"Weldon et al 2005","Bdmaps"
"25","South Africa",-30.2046,17.7496,"Weldon et al 2005","Bdmaps"
"26","South Africa",-29.6633,17.8861,"Weldon et al 2005","Bdmaps"
"27","South Africa",-33.96,25.59,"Weldon et al 2005","Bdmaps"
"28","South Africa",-23.6311,29.4755,"Weldon et al 2005","Bdmaps"
"29","South Africa",-34.0999,18.8229,"Weldon et al 2005","Bdmaps"
"30","South Africa",-33.6377,19.0059,"Weldon et al 2005","Bdmaps"
"31","South Africa",-34.2285,19.2137,"Weldon et al 2005","Bdmaps"
"32","South Africa",-33.983,18.635,"Weldon et al 2005","Bdmaps"
"33","South Africa",-34.0665,18.5139,"Weldon et al 2005","Bdmaps"
"34","South Africa",-30.04699,18.0682,"Weldon et al 2005","Bdmaps"
"35","South Africa",-28.2761,29.1308,"Weldon et al 2005","Bdmaps"
"36","South Africa",-26.9415,32.8522,"Weldon et al 2005","Bdmaps"
"37","South Africa",-31.2857,26.3988,"Weldon et al 2005","Bdmaps"
"38","South Africa",-33.3375,20.0336,"Weldon et al 2005","Bdmaps"
"39","South Africa",-34.0151,18.5534,"Weldon et al 2005","Bdmaps"
"40","South Africa",-27.4277,32.6933,"Weldon et al 2005","Bdmaps"
"41","South Africa",-28.7832,26.0831,"Weldon et al 2005","Bdmaps"
"42","South Africa",-29.4057,25.0045,"Weldon et al 2005","Bdmaps"
"43","South Africa",-29.1434,26.4633,"Weldon et al 2005","Bdmaps"
"44","South Africa",-29.2255,30.0009,"Weldon et al 2005","Bdmaps"
"45","South Africa",-29.3167,27.2827,"Weldon et al 2005","Bdmaps"
"46","South Africa",-29.6758,17.0554,"Weldon et al 2005","Bdmaps"
"47","South Africa",-28.3299,24.7205,"Weldon et al 2005","Bdmaps"
"48","South Africa",-33.9306,18.8598,"Weldon et al 2005","Bdmaps"
"49","South Africa",-33.8032,18.8675,"Weldon et al 2005","Bdmaps"
"50","Botswana",-24.97779,25.34258,"Weldon et al 2005","Bdmaps"
"51","Botswana",-24.6459,22.5041,"Weldon et al 2005","Bdmaps"
"52","Swaziland",-25.9954,31.6989,"Weldon et al 2005","Bdmaps"
"53","Swaziland",-27.3055,31.8842,"Weldon et al 2005","Bdmaps"
"54","South Africa",-29.64028,18.00694,"Hopkins and Channing 2003","Bdmaps"
"55","South Africa",-29.62917,18.03417,"Hopkins and Channing 2003","Bdmaps"
"56","South Africa",-32.37428,19.06147,"Hopkins and Channing 2003","Bdmaps"
"57","South Africa",-33.41978,22.24083,"Hopkins and Channing 2003","Bdmaps"
"58","South Africa",-33.05392,19.07964,"Hopkins and Channing 2003","Bdmaps"
"59","South Africa",-32.99856,19.05664,"Hopkins and Channing 2003","Bdmaps"
"60","South Africa",-32.33747,19.02472,"Hopkins and Channing 2003","Bdmaps"
"61","South Africa",-33.93333,18.86667,"Hopkins and Channing 2003","Bdmaps"
"62","South Africa",-34.00992,20.45919,"Hopkins and Channing 2003","Bdmaps"
"63","South Africa",-33.94792,18.4345,"Hopkins and Channing 2003","Bdmaps"
"64","South Africa",-33.94825,18.43331,"Hopkins and Channing 2003","Bdmaps"
"65","South Africa",-33.96522,20.70461,"Hopkins and Channing 2003","Bdmaps"
"66","South Africa",-28.8,28.825,"Smith et al. 2007","Bdmaps"
"67","Democratic Republic of the Congo",-2.312806,28.755194,"Greenbaum et al. 2008","Bdmaps"
"68","Democratic Republic of the Congo",-1.887306,28.4495,"Greenbaum et al. 2008","Bdmaps"
"69","Lesotho",-29.6022,28.2408,"Mark-Oliver Roedel, unpub.","Bdmaps"
"70","Ghana",7.9374,-1.1003,"Parker et al. 2002","Bdmaps"
"71","South Africa",-29.38133,29.66033,"","Bdmaps"
"72","South Africa",-28.752194,29.619611,"","Bdmaps"
"73","South Africa",-27.37306,31.6216,"","Bdmaps"
"74","South Africa",-27.39111,31.62235,"","Bdmaps"
"75","South Africa",-27.52876,32.64958,"","Bdmaps"
"76","South Africa",-23.81647,30.02381,"","Bdmaps"
"77","South Africa",-27.68044,29.57434,"","Bdmaps"
"78","South Africa",-27.938957,24.773549,"","Bdmaps"
"79","South Africa",-25.10707,31.07805,"","Bdmaps"
"80","Morocco",35.5358516,-5.386177376,"J Bosch, unpub.","Bdmaps"
"81","Morocco",35.04387071,-6.046155582,"J Bosch, unpub.","Bdmaps"
"82","Morocco",35.038039,-6.02924801,"J Bosch, unpub.","Bdmaps"
"83","Gabon",0.44959,10.27583,"Bell et al. 2011","Bdmaps"
"84","Gabon",0.62325,10.40275,"Bell et al. 2011","Bdmaps"
"85","Cameroon",2.934,11.9835,"Blackburn Lab, Vredenburg Lab","Sonia"
"86","Kenya",0.277777778,34.77305556,"Blackburn Lab, Vredenburg Lab","Sonia"
"87","Kenya",0.340277778,34.80611111,"Blackburn Lab, Vredenburg Lab","Sonia"
"88","Kenya",-0.716666667,36.65,"Blackburn Lab, Vredenburg Lab","Sonia"
"89","Kenya",0.233333333,34.84166667,"Blackburn Lab, Vredenburg Lab","Sonia"
"90","Kenya",-3.383333333,38.33333333,"Blackburn Lab, Vredenburg Lab","Sonia"
"91","Kenya",-0.483333333,36.63333333,"Blackburn Lab, Vredenburg Lab","Sonia"
"92","Kenya",-1.283333333,36.81666667,"Blackburn Lab, Vredenburg Lab","Sonia"
"93","Ethiopia",6.666666667,39.73333333,"Blackburn Lab, Vredenburg Lab","Sonia"
"94","Uganda",-0.99275,29.61572222,"Blackburn Lab, Vredenburg Lab","Sonia"
"95","Uganda",-0.986916667,29.63430556,"Blackburn Lab, Vredenburg Lab","Sonia"
"96","Uganda",-1.000666667,29.61716667,"Blackburn Lab, Vredenburg Lab","Sonia"
"97","Uganda",-0.9,29.7,"Blackburn Lab, Vredenburg Lab","Sonia"
"98","Uganda",-1.00975,29.62069444,"Blackburn Lab, Vredenburg Lab","Sonia"
"99","Uganda",0.566666667,30.35,"Blackburn Lab, Vredenburg Lab","Sonia"
"100","Uganda",-0.8905,29.72741667,"Blackburn Lab, Vredenburg Lab","Sonia"
"101","Uganda",-0.976666667,29.68908333,"Blackburn Lab, Vredenburg Lab","Sonia"
"102","Uganda",-0.978333333,29.695,"Blackburn Lab, Vredenburg Lab","Sonia"
"103","Burundi",-3.941079833,29.62839983,"Blackburn Lab, Vredenburg Lab","Sonia"
"104","Burundi",-3.93189,29.61846,"Blackburn Lab, Vredenburg Lab","Sonia"
"105","Burundi",-3.9344,29.6189,"Blackburn Lab, Vredenburg Lab","Sonia"
"106","Burundi",-3.29342,29.72483,"Blackburn Lab, Vredenburg Lab","Sonia"
"107","Burundi",-3.928609833,29.61682,"Blackburn Lab, Vredenburg Lab","Sonia"
"108","Burundi",-3.93189,29.61845983,"Blackburn Lab, Vredenburg Lab","Sonia"
"109","Burundi",-3.93548,29.66083,"Blackburn Lab, Vredenburg Lab","Sonia"
"110","Burundi",-3.9534,29.6147,"Blackburn Lab, Vredenburg Lab","Sonia"
"111","Burundi",-3.06974,29.48445,"Blackburn Lab, Vredenburg Lab","Sonia"
"112","Burundi",-4.01368,29.4743,"Blackburn Lab, Vredenburg Lab","Sonia"
"113","Burundi",-3.948269833,29.62831983,"Blackburn Lab, Vredenburg Lab","Sonia"
"114","Burundi",-3.932551389,29.61805,"Blackburn Lab, Vredenburg Lab","Sonia"
"115","Burundi",-4.0108,30.14681,"Blackburn Lab, Vredenburg Lab","Sonia"
"116","Burundi",-3.944459833,29.60686,"Blackburn Lab, Vredenburg Lab","Sonia"
"117","Burundi",-3.94446,29.60686,"Blackburn Lab, Vredenburg Lab","Sonia"
"118","Burundi",-3.94328,29.62828,"Blackburn Lab, Vredenburg Lab","Sonia"
"119","Burundi",-3.94106,29.62832,"Blackburn Lab, Vredenburg Lab","Sonia"
"120","Burundi",-3.943229833,29.62850983,"Blackburn Lab, Vredenburg Lab","Sonia"
"121","Burundi",-3.349639833,29.27305,"Blackburn Lab, Vredenburg Lab","Sonia"
"122","Burundi",-3.933079833,29.61908,"Blackburn Lab, Vredenburg Lab","Sonia"
"123","Burundi",-3.94196,29.62832,"Blackburn Lab, Vredenburg Lab","Sonia"
"124","Burundi",-3.06884,29.4828,"Blackburn Lab, Vredenburg Lab","Sonia"
"125","Burundi",-3.343039833,29.27310983,"Blackburn Lab, Vredenburg Lab","Sonia"
"126","Burundi",-3.946779833,29.62736983,"Blackburn Lab, Vredenburg Lab","Sonia"
"127","Burundi",-3.97285,29.6078,"Blackburn Lab, Vredenburg Lab","Sonia"
"128","Burundi",-4.0138,29.47471,"Blackburn Lab, Vredenburg Lab","Sonia"
"129","Burundi",-3.94827,29.61908,"Blackburn Lab, Vredenburg Lab","Sonia"
"130","Burundi",-3.947859833,29.62687983,"Blackburn Lab, Vredenburg Lab","Sonia"
"131","Cameroon",4.604166667,12.20451667,"Blackburn Lab, Vredenburg Lab","Sonia"
"132","Cameroon",6.965033333,10.04236667,"Blackburn Lab, Vredenburg Lab","Sonia"
"133","Cameroon",6.23065,10.05108333,"Blackburn Lab, Vredenburg Lab","Sonia"
"134","Cameroon",4.61155,12.22541667,"Blackburn Lab, Vredenburg Lab","Sonia"
"135","Cameroon",6.01425,10.27026667,"Blackburn Lab, Vredenburg Lab","Sonia"
"136","Cameroon",3.85955,11.49563333,"Blackburn Lab, Vredenburg Lab","Sonia"
"137","Cameroon",6.548616667,10.75998333,"Blackburn Lab, Vredenburg Lab","Sonia"
"138","Cameroon",5.967716667,10.0397,"Blackburn Lab, Vredenburg Lab","Sonia"
"139","Cameroon",5.855733333,10.15853333,"Blackburn Lab, Vredenburg Lab","Sonia"
"140","Cameroon",5.108883333,10.61586667,"Blackburn Lab, Vredenburg Lab","Sonia"
"141","Cameroon",6.33595,10.03513333,"Blackburn Lab, Vredenburg Lab","Sonia"
"142","Cameroon",6.202,10.45953333,"Blackburn Lab, Vredenburg Lab","Sonia"
"143","Cameroon",5.909016667,10.16126667,"Blackburn Lab, Vredenburg Lab","Sonia"
"144","Cameroon",5.5519,10.70485,"Blackburn Lab, Vredenburg Lab","Sonia"
"145","Cameroon",4.609116667,12.20635,"Blackburn Lab, Vredenburg Lab","Sonia"
"146","Democratic Republic of the Congo",-4.10701,29.09521,"Blackburn Lab, Vredenburg Lab","Sonia"
"147","Democratic Republic of the Congo",-4.37381,28.93287,"Blackburn Lab, Vredenburg Lab","Sonia"
"148","Cameroon",4.84975,9.771829833,"Blackburn Lab, Vredenburg Lab","Sonia"
"149","Cameroon",4.947809833,9.695629833,"Blackburn Lab, Vredenburg Lab","Sonia"
"150","Cameroon",4.96335,9.6751,"Blackburn Lab, Vredenburg Lab","Sonia"
"151","Cameroon",4.32228,9.066349833,"Blackburn Lab, Vredenburg Lab","Sonia"
"152","Cameroon",4.9606,9.668599833,"Blackburn Lab, Vredenburg Lab","Sonia"
"153","Cameroon",4.9538,9.866088889,"Blackburn Lab, Vredenburg Lab","Sonia"
"154","Cameroon",2.6106,14.0234,"Blackburn Lab, Vredenburg Lab","Sonia"
"155","Cameroon",2.93994,11.97633,"Blackburn Lab, Vredenburg Lab","Sonia"
"156","Cameroon",2.6445,14.03115,"Blackburn Lab, Vredenburg Lab","Sonia"
"157","Cameroon",2.90072,13.90334,"Blackburn Lab, Vredenburg Lab","Sonia"
"158","Cameroon",4.322938889,9.082688889,"Blackburn Lab, Vredenburg Lab","Sonia"
"159","Cameroon",2.90096,13.0492,"Blackburn Lab, Vredenburg Lab","Sonia"
"160","Cameroon",2.62278,14.02446,"Blackburn Lab, Vredenburg Lab","Sonia"
"161","Cameroon",4.959438889,9.865061111,"Blackburn Lab, Vredenburg Lab","Sonia"
"162","Cameroon",4.32676,9.06609,"Blackburn Lab, Vredenburg Lab","Sonia"
"163","Cameroon",5.21687,10.48567,"Blackburn Lab, Vredenburg Lab","Sonia"
"164","Cameroon",2.63101,14.02324,"Blackburn Lab, Vredenburg Lab","Sonia"
"165","Cameroon",2.90057,13.9041,"Blackburn Lab, Vredenburg Lab","Sonia"
"166","Cameroon",4.954929833,9.86721,"Blackburn Lab, Vredenburg Lab","Sonia"
"167","Cameroon",2.64472,14.03517,"Blackburn Lab, Vredenburg Lab","Sonia"
"168","Cameroon",5.85573,10.15853,"Blackburn Lab, Vredenburg Lab","Sonia"
"169","Cameroon",4.833905556,9.778269444,"Blackburn Lab, Vredenburg Lab","Sonia"
"170","Cameroon",5.66016,10.12686,"Blackburn Lab, Vredenburg Lab","Sonia"
"171","Cameroon",4.959438889,9.866088889,"Blackburn Lab, Vredenburg Lab","Sonia"
"172","Democratic Republic of the Congo",-2.58555,16.47182,"Blackburn Lab, Vredenburg Lab","Sonia"
"173","Cameroon",2.138333,15.655,"Balaz et. al 2012","Lit Review"
"174","Sao Tome and Principe",0.30585,6.61875,"Hydemanæet al. 2013","Lit Review"
"175","Sao Tome and Principe",0.30818,6.6173,"Hydemanæet al. 2013","Lit Review"
"176","Sao Tome and Principe",0.28821,6.61307,"Hydemanæet al. 2013","Lit Review"
"177","Sao Tome and Principe",0.28848,6.62404,"Hydemanæet al. 2013","Lit Review"
"178","Sao Tome and Principe",0.29613,6.63805,"Hydemanæet al. 2013","Lit Review"
"179","Sao Tome and Principe",0.28145,6.59808,"Hydemanæet al. 2013","Lit Review"
"180","Sao Tome and Principe",0.30234,6.73228,"Hydemanæet al. 2013","Lit Review"
"181","Sao Tome and Principe",0.28638,6.57027,"Hydemanæet al. 2013","Lit Review"
"182","Sao Tome and Principe",0.27568,6.60412,"Hydemanæet al. 2013","Lit Review"
"183","Nigeria",6.267423,5.259689,"Imasuen et al. 2011","Lit Review"
"184","Kenya",-1.3316,36.799,"Kielgast et al. 2009","Lit Review"
"185","Kenya",-0.4114,36.7238,"Kielgast et al. 2009","Lit Review"
"186","Kenya",-0.3684,36.8424,"Kielgast et al. 2009","Lit Review"
"187","Kenya",0.3528,34.8653,"Kielgast et al. 2009","Lit Review"
"188","Kenya",1.0339,34.7695,"Kielgast et al. 2009","Lit Review"
"189","Kenya",1.1063,35.1247,"Kielgast et al. 2009","Lit Review"
"190","Kenya",-4.1805,39.4191,"Kielgast et al. 2009","Lit Review"
"191","Kenya",-3.505,38.3816,"Kielgast et al. 2009","Lit Review"
"192","Kenya",-3.4055,38.3644,"Kielgast et al. 2009","Lit Review"
"193","Kenya",0.0431,36.3715,"Kielgast et al. 2009","Lit Review"
"194","Kenya",-1.1373,36.6789,"Kielgast et al. 2009","Lit Review"
"195","Nigeria",7.329972,11.585,"Reeder et al. 2011","Lit Review"
"196","Tanzania",-3.1808,37.2511,"Zancolli et al 2013","Lit Review"
"197","Tanzania",-3.2018,37.5175,"Zancolli et al 2013","Lit Review"
"198","Tanzania",-3.094,37.2657,"Zancolli et al 2013","Lit Review"
"199","Tanzania",-3.0967,37.2667,"Zancolli et al 2013","Lit Review"
"200","Morocco",35.535881,-5.386177376,"El Mouden et al 2011","Lit Review"
"201","Morocco",35.038109,-6.02924801,"El Mouden et al 2011","Lit Review"
"202","Congo",-2.30807,13.60987,"Jongsma et al. 2016","Lit Review"
"203","Gabon",-0.64195,10.21742,"Jongsma et al. 2016","Lit Review"
"204","Gabon",-0.64073,10.21873,"Jongsma et al. 2016","Lit Review"
"205","Gabon",-0.1772,10.7821,"Jongsma et al. 2016","Lit Review"
"206","Gabon",-2.23806,13.58235,"Jongsma et al. 2016","Lit Review"
"207","Gabon",-2.23971,13.58264,"Jongsma et al. 2016","Lit Review"
"208","Gabon",-0.0554,11.1664,"Jongsma et al. 2016","Lit Review"
"209","Gabon",-0.18292,10.77682,"Jongsma et al. 2016","Lit Review"
"210","Gabon",-0.05954,11.15926,"Jongsma et al. 2016","Lit Review"
"211","Gabon",-2.1691,13.63946,"Jongsma et al. 2016","Lit Review"
"212","Congo",-2.30807,13.59902,"Jongsma et al. 2016","Lit Review"
"213","Gabon",-0.63971,10.21318,"Jongsma et al. 2016","Lit Review"
"214","Gabon",-0.64375,10.22071,"Jongsma et al. 2016","Lit Review"
"215","Gabon",-0.04916,11.16428,"Jongsma et al. 2016","Lit Review"
"216","Gabon",-0.64305,10.21818,"Jongsma et al. 2016","Lit Review"
"217","Gabon",-0.18093,10.77828,"Jongsma et al. 2016","Lit Review"
"218","Gabon",-2.23767,13.58085,"Jongsma et al. 2016","Lit Review"
"219","Gabon",-0.80493,12.81241,"Jongsma et al. 2016","Lit Review"
"220","Gabon",-0.86831,12.67244,"Jongsma et al. 2016","Lit Review"
"221","Gabon",-0.05205,11.16493,"Jongsma et al. 2016","Lit Review"
"222","Gabon",-2.2419,13.58746,"Jongsma et al. 2016","Lit Review"
"223","Gabon",-2.157664,13.63431,"Jongsma et al. 2016","Lit Review"
"224","Gabon",-2.15461,13.6414,"Jongsma et al. 2016","Lit Review"
"225","Congo",-2.31967,13.60987,"Jongsma et al. 2016","Lit Review"
"226","Gabon",-2.12448,13.63506,"Jongsma et al. 2016","Lit Review"
"227","Gabon",-0.18482,10.77727,"Jongsma et al. 2016","Lit Review"
"228","Gabon",-0.17502,10.78135,"Jongsma et al. 2016","Lit Review"
"229","Gabon",-0.06216,11.1587,"Jongsma et al. 2016","Lit Review"
"230","Gabon",-0.16839,10.78291,"Jongsma et al. 2016","Lit Review"
"231","Gabon",-0.1766,10.77973,"Jongsma et al. 2016","Lit Review"
"232","Equatorial Guinea",3.325,8.671,"Hydeman et al 2017","Lit Review"
"233","Equatorial Guinea",3.461,8.552,"Hydeman et al 2017","Lit Review"
"234","Equatorial Guinea",3.361,8.662,"Hydeman et al 2017","Lit Review"
"235","Equatorial Guinea",3.628,8.803,"Hydeman et al 2017","Lit Review"
"236","Equatorial Guinea",3.696,8.871,"Hydeman et al 2017","Lit Review"
"237","Equatorial Guinea",3.468,8.493,"Hydeman et al 2017","Lit Review"
"238","Equatorial Guinea",3.711,8.667,"Hydeman et al 2017","Lit Review"
"239","Equatorial Guinea",3.355,8.622,"Hydeman et al 2017","Lit Review"
"240","Equatorial Guinea",3.332,8.67,"Hydeman et al 2017","Lit Review"
